molecule (Canonical/Isomeric SMILES),bacteria,MIC (µmol mL−1),MIC (µg mL−1),doi,id,type,group,group_name,Unnamed: 9,Molecular weight,MIC,log MIC,S. aureus,E. coli,
O=C(OCC)C1=C(NC(=O)NC1C=2OC=CC2)CN3C=NC=4C=CC=CC43,"E. c. 25922, E. coli25922",,64,10.1002/cjoc.202200326 (https://onlinelibrary.wiley.com/doi/epdf/10.1002/cjoc.202200326),5a,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,366.37700000000007,174.68345447448937,2.242251771779038,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=CC=C4,"E. c. 25922, E. coli25922",,32,10.1002/cjoc.202200326,5b,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,382.44500000000016,83.67216201022364,1.9225809908929559,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=CC=C4,"E. c. 25922, E. coli25922",,32,10.1002/cjoc.202200326,5c,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,396.47200000000015,80.71187877075806,1.9069374567164195,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=CC(=C4)Br,"E. c. 25922, E. coli25922",,16,10.1002/cjoc.202200326,6a,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,461.3410000000002,34.681504570372006,1.5400979299932256,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C=C4)[N+](=O)[O-],"E. c. 25922, E. coli25922",,16,10.1002/cjoc.202200326,6b,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,427.44200000000023,37.43197907552368,1.573242789413576,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C=C4)Cl,"E. c. 25922, E. coli25922",,32,10.1002/cjoc.202200326,6c,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,416.8900000000002,76.75885725251261,1.8851285005524618,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C(=C4)C)C,"E. c. 25922, E. coli25922",,64,10.1002/cjoc.202200326,6d,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,410.49900000000025,155.9078097632393,2.192867870494349,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=CC(=C4)Br,"E. c. 25922, E. coli25922",,4,10.1002/cjoc.202200326,6e,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,475.36800000000017,8.414533582403525,0.9250300480358676,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C=C4)[N+](=O)[O-],"E. c. 25922, E. coli25922",,16,10.1002/cjoc.202200326,6f,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,441.4690000000002,36.24263538323187,1.5592197698762422,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C=C4)Cl,"E. c. 25922, E. coli25922",,64,10.1002/cjoc.202200326,6g,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,430.91700000000014,148.52048074223106,2.1717863463133473,-,+,
