SMILES,bacteria,MIC (µg/mL),MIC (µmol/mL),log MIC,S. aureus,molar_mass
N#CC=1C(=O)N(N=C(C2=NC=3C=CC=CC3N2)C)C(N=CC=4C=CC=C(Cl)C4)=C(C#N)C1C=5C=CC(=CC5)N(=O)=O,Methicillin-resistant S. aureus (ATCC 43300),50.0,0.08913275610960474,1.950037335724345,+,560.9610000000002
N#CC=1C(=O)N(N=C(C2=NC=3C=CC=CC3N2)C)C(N=CC=4C=CC=C(Br)C4)=C(C#N)C1C=5C=CC(=CC5)N(=O)=O,Methicillin-resistant S. aureus (ATCC 43300),12.5,0.020647096522698583,1.3148589880589046,+,605.4120000000001
N#CC=1C(=O)N(N=C(C2=NC=3C=CC=CC3N2)C)C(N=CC4=CC=C(Br)C=C4)=C(C#N)C1C=5C=CC(=CC5)N(=O)=O,Methicillin-resistant S. aureus (ATCC 43300),6.25,0.010323548261349291,1.0138289923949233,+,605.4120000000001
ClC1=CC=2N=C(Cl)N(C2C=C1Cl)C3CCCC3,methicillin-resistant S. aureus (MRSA),6.25,0.02158201337739516,1.3340919573953296,+,289.59300000000013
ClC1=CC=2N=C(Br)N(C2C=C1Cl)C3CCCC3,methicillin-resistant S. aureus (MRSA),6.25,0.01871011004538323,1.2720763418539462,+,334.0440000000002
ClC1=CC=C2C(N=C(C=3C=CC(OCC=4C=CC=CC4)=CC3)N2C5CCCC5)=C1,methicillin-resistant S. aureus (MRSA),6.25,0.015511571632437793,1.1906558027598393,+,402.9250000000002
O=C(NC=1C=CC=C(C1)C=2C=NC(=CC2)N3C(=NC=4C=C(C=CC43)C(=O)NCCN(C)C)C)C=5C=CC=6N=C(NC6C5)C,methicillin-resistant S. aureus (MRSA),2.0,0.0034923944380126164,0.543123287891023,+,572.6730000000002
O=C(NC=1C=CC=C(C1)C=2C=NC(=CC2)N3C(=NC=4C=C(C=CC43)C(=O)NCCCN(C)C)C)C=5C=CC=6N=C(NC6C5)C,methicillin-resistant S. aureus (MRSA),0.5,0.0008522243054371908,-0.069446083880313,+,586.7000000000002
O=C(NC=1C=CC=C(C1)C=2C=NC(=CC2)N3C(=NC=4C=C(C=CC43)C(=O)NCCCCN(C)C)C)C=5C=CC=6N=C(NC6C5)C,methicillin-resistant S. aureus (MRSA),1.0,0.001664649666154509,0.2213228480135355,+,600.7270000000002
N1=CN=C(C=2NC=NC12)N3CCOCC3,MRSA,512.0,2.494871382558316,3.397048161468432,+,205.22099999999992
N1=CN(C=2C=CC=CC12)CCN3C=NC=4C3=NC=NC4N5CCOCC5,MRSA,256.0,0.7326887961579627,2.864919550616425,+,349.3980000000002
N1=CN(C=2C=C(C(=CC12)C)C)CCN3C=NC=4C3=NC=NC4N5CCOCC5,MRSA,256.0,0.6782319341267231,2.831378234407731,+,377.45200000000017
N=1C=NC(=C2N=CN(C12)CCN3C(=NC=4C=CC=CC43)C)N5CCOCC5,MRSA,512.0,1.4088188759716578,3.148855161865675,+,363.42500000000024
FC(F)(F)C1=NC=2C=CC=CC2N1CCN3C=NC=4C3=NC=NC4N5CCOCC5,MRSA,256.0,0.61332790282586,2.787692722991172,+,417.39500000000027
O=N(=O)C=1C=CC2=C(N=C(N2CCN3C=NC=4C3=NC=NC4N5CCOCC5)C)C1,MRSA,256.0,0.6268026697876212,2.79713083762355,+,408.42200000000025
O=C(C1=NC=2C=CC=CC2N1CCN3C=NC=4C3=NC=NC4N5CCOCC5)C,MRSA,256.0,0.6540038576008784,2.81558030999068,+,391.43500000000023
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CC)N5CCOCC5,MRSA,256.0,0.7044094379858288,2.8478251662016936,+,363.42500000000024
