SMILES,bacteria,MIC (µg/mL),MIC (µmol/mL),log MIC,S. aureus,molar_mass
N#CC=1C(=O)N(N=C(C2=NC=3C=CC=CC3N2)C)C(N=CC=4C=CC=C(Cl)C4)=C(C#N)C1C=5C=CC(=CC5)N(=O)=O,Methicillin-resistant S. aureus (ATCC 43300),-0.2560304202884486,-0.3480924588301812,0.3841852545874614,+,1.261379458335063
N#CC=1C(=O)N(N=C(C2=NC=3C=CC=CC3N2)C)C(N=CC=4C=CC=C(Br)C4)=C(C#N)C1C=5C=CC(=CC5)N(=O)=O,Methicillin-resistant S. aureus (ATCC 43300),-0.5278082465999864,-0.49909304209605415,-0.07385121358100621,+,1.6622912707189639
N#CC=1C(=O)N(N=C(C2=NC=3C=CC=CC3N2)C)C(N=CC4=CC=C(Br)C=C4)=C(C#N)C1C=5C=CC(=CC5)N(=O)=O,Methicillin-resistant S. aureus (ATCC 43300),-0.5731045509852426,-0.5218549139717128,-0.29092838022794665,+,1.6622912707189639
ClC1=CC=2N=C(Cl)N(C2C=C1Cl)C3CCCC3,methicillin-resistant S. aureus (MRSA),-0.5731045509852426,-0.49703169098670064,-0.0599820359246409,+,-1.186138858530578
ClC1=CC=2N=C(Br)N(C2C=C1Cl)C3CCCC3,methicillin-resistant S. aureus (MRSA),-0.5731045509852426,-0.5033638060722933,-0.10470241031755138,+,-0.7852270461466758
ClC1=CC=C2C(N=C(C=3C=CC(OCC=4C=CC=CC4)=CC3)N2C5CCCC5)=C1,methicillin-resistant S. aureus (MRSA),-0.5731045509852426,-0.5104161024050776,-0.1634159610865719,+,-0.1639765332489794
O=C(NC=1C=CC=C(C1)C=2C=NC(=CC2)N3C(=NC=4C=C(C=CC43)C(=O)NCCN(C)C)C)C=5C=CC=6N=C(NC6C5)C,methicillin-resistant S. aureus (MRSA),-0.6039060379672169,-0.5369165811575823,-0.6303612013090539,+,1.3670121583112222
O=C(NC=1C=CC=C(C1)C=2C=NC(=CC2)N3C(=NC=4C=C(C=CC43)C(=O)NCCCN(C)C)C)C=5C=CC=6N=C(NC6C5)C,methicillin-resistant S. aureus (MRSA),-0.6147771510196784,-0.5427377593771501,-1.0720940037346582,+,1.493524272601316
O=C(NC=1C=CC=C(C1)C=2C=NC(=CC2)N3C(=NC=4C=C(C=CC43)C(=O)NCCCCN(C)C)C)C=5C=CC=6N=C(NC6C5)C,methicillin-resistant S. aureus (MRSA),-0.6111534466688578,-0.540946483596669,-0.8624162414065164,+,1.6200363868914107
N1=CN=C(C=2NC=NC12)N3CCOCC3,MRSA,3.092272399869696,4.9561995341237575,1.427646088007525,+,-1.947105573215391
N1=CN(C=2C=CC=CC12)CCN3C=NC=4C3=NC=NC4N5CCOCC5,MRSA,1.2369357722495986,1.0708518573629418,1.043920303868508,+,-0.6467464727660451
N1=CN(C=2C=C(C(=CC12)C)C)CCN3C=NC=4C3=NC=NC4N5CCOCC5,MRSA,1.2369357722495986,0.9507826636201029,1.0197331663969331,+,-0.39372224418585655
N=1C=NC(=C2N=CN(C12)CCN3C(=NC=4C=CC=CC43)C)N5CCOCC5,MRSA,3.092272399869696,2.561617034062635,1.2486704579659564,+,-0.5202343584759503
FC(F)(F)C1=NC=2C=CC=CC2N1CCN3C=NC=4C3=NC=NC4N5CCOCC5,MRSA,1.2369357722495986,0.8076790322635236,0.9882309002492947,+,-0.03346891980507289
O=N(=O)C=1C=CC2=C(N=C(N2CCN3C=NC=4C3=NC=NC4N5CCOCC5)C)C1,MRSA,1.2369357722495986,0.8373888676198683,0.9950368638157049,+,-0.11439807083701263
O=C(C1=NC=2C=CC=CC2N1CCN3C=NC=4C3=NC=NC4N5CCOCC5)C,MRSA,1.2369357722495986,0.897363397325817,1.0083410502598291,+,-0.26760697405550815
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CC)N5CCOCC5,MRSA,1.2369357722495986,1.0085001241076317,1.031593291319016,+,-0.5202343584759503
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CCCC)N5CCOCC5,MRSA,3.092272399869696,2.3390194398525863,1.2253830157207026,+,-0.26721012989576076
O=C(O)CC(=O)NC=1C=CC(=CC1)C2=NC=3C=CC=CC3N2,MRSA,-0.5731045509852426,-0.4979621670384324,-0.06616652795418307,+,-1.134684405545266
O=C(O)CCC(=O)NC=1C=CC(=CC1)C2=NC=3C=CC=CC3N2,MRSA,-0.5278082465999864,-0.4555188110803947,0.136447378412346,+,-1.0081722912551712
